H  1 1215.68A
H  1 1025.73A
H  1 972.543A
H  1 949.749A
H  1 937.809A
H  1 930.754A
H  1 926.231A
H  1 920.969A
H  1 6562.85A
H  1 4861.36A
H  1 4340.49A
H  1 4101.76A
H  1 3970.09A
H  1 3889.07A
H  1 3835.40A
H  1 3797.92A
H  1 1.87511m
H  1 1.28181m
H  1 1.09381m
H  1 1.00494m
H  1 9545.99A
H  1 9229.03A
H  1 9014.92A
H  1 4.05116m
H  1 2.62515m
H  1 2.16553m
H  1 1.94456m
H  1 1.81741m
H  1 1.73621m
H  1 7.45781m
H  1 4.65250m
H  1 3.73953m
H  1 3.29609m
H  1 3.03837m
H  1 12.3685m
H  1 7.50043m
H  1 5.90659m
H  1 5.12725m
He 1 4471.47A
He 1 5875.61A
He 1 6678.15A
TOTL 1.08299m
He 1 3888.63A
He 1 7065.18A
Ca 2 3933.00A
TOTL 9850.00A
C  1 8727.00A
C  1 4621.00A		
C  1 609.200m
C  1 369.700m
C  2 157.600m
TOTL 2326.00A
N  1 5200.00A
TOTL 3467.00A
TOTL 1.04030m
N  2 6584.00A
N  2 6548.00A
N  2 5755.00A
N  2 121.700m
N  2 205.400m
N  2 2141.00A
N  3 57.2100m
O  1 6300.00A
O  1 6363.00A
O  1 5577.00A
O  1 63.1700m
O  1 145.530m
TOTL 3727.00A
TOTL 7325.00A
O II 2471.00A
O  3 1661.00A
O  3 5007.00A
O  3 4959.00A
TOTL 4363.00A		
O  3 2321.00A
O  3 88.3300m
O  3 51.8000m
Ne 2 12.8100m
Ne 3 15.5500m
Ne 3 36.0140m
Ne 3 3869.00A
Ne 3 3968.00A
Ne 3 3343.00A
Ne 3 1815.00A
Ne 4 4720.00A
TOTL 2798.00A
Si 2 34.8140m
S  2 1.03300m	
S II 6731.00A
S  2 6720.00A				
S II 6716.00A
S II 4070.00A
S II 4078.00A
S  3 18.6700m
S  3 33.4700m
S  3 9532.00A
S  3 9069.00A
S  3 6312.00A
S  3 3722.00A
S  4 10.5100m
Ar 2 6.98000m
Ar 3 7135.00A		
Ar 3 7751.00A
Ar 3 5192.00A
Ar 3 3109.00A
Ar 3 21.8300m
Ar 3 9.00000m
Ar 4 7331.00A
